D:\Pulpit\Data\IMG\center_2020_11_18_15_54_32_711.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_32_711.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_32_711.jpg, 0, 0, 0, 7.793857E-05
D:\Pulpit\Data\IMG\center_2020_11_18_15_54_32_812.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_32_812.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_32_812.jpg, 0, 0, 0, 7.81741E-05
D:\Pulpit\Data\IMG\center_2020_11_18_15_54_32_913.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_32_913.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_32_913.jpg, 0, 0, 0, 7.837004E-05
D:\Pulpit\Data\IMG\center_2020_11_18_15_54_33_015.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_33_015.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_33_015.jpg, 0, 0.09521489, 0, 0.003627531
D:\Pulpit\Data\IMG\center_2020_11_18_15_54_33_116.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_33_116.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_33_116.jpg, 0, 0.3985343, 0, 0.3489569
D:\Pulpit\Data\IMG\center_2020_11_18_15_54_33_217.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_33_217.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_33_217.jpg, 0, 0.6986215, 0, 1.063402
D:\Pulpit\Data\IMG\center_2020_11_18_15_54_33_319.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_33_319.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_33_319.jpg, -0.2602785, 0.9962541, 0, 2.113494
D:\Pulpit\Data\IMG\center_2020_11_18_15_54_33_420.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_33_420.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_33_420.jpg, -0.5626704, 1, 0, 3.278844
D:\Pulpit\Data\IMG\center_2020_11_18_15_54_33_522.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_33_522.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_33_522.jpg, -0.3550186, 1, 0, 4.448967
D:\Pulpit\Data\IMG\center_2020_11_18_15_54_33_624.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_33_624.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_33_624.jpg, 0, 1, 0, 5.839539
D:\Pulpit\Data\IMG\center_2020_11_18_15_54_33_727.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_33_727.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_33_727.jpg, 0, 1, 0, 6.986176
D:\Pulpit\Data\IMG\center_2020_11_18_15_54_33_828.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_33_828.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_33_828.jpg, -0.294894, 1, 0, 8.103079
D:\Pulpit\Data\IMG\center_2020_11_18_15_54_33_930.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_33_930.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_33_930.jpg, -0.5908926, 1, 0, 9.153167
D:\Pulpit\Data\IMG\center_2020_11_18_15_54_34_033.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_34_033.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_34_033.jpg, -0.5115587, 1, 0, 10.21141
D:\Pulpit\Data\IMG\center_2020_11_18_15_54_34_135.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_34_135.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_34_135.jpg, -0.2061761, 1, 0, 11.32904
D:\Pulpit\Data\IMG\center_2020_11_18_15_54_34_236.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_34_236.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_34_236.jpg, 0, 1, 0, 12.54365
D:\Pulpit\Data\IMG\center_2020_11_18_15_54_34_337.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_34_337.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_34_337.jpg, 0, 1, 0, 13.36005
D:\Pulpit\Data\IMG\center_2020_11_18_15_54_34_439.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_34_439.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_34_439.jpg, -0.07176869, 1, 0, 14.63998
D:\Pulpit\Data\IMG\center_2020_11_18_15_54_34_540.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_34_540.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_34_540.jpg, -0.378075, 1, 0, 15.40772
D:\Pulpit\Data\IMG\center_2020_11_18_15_54_34_643.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_34_643.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_34_643.jpg, -0.3802027, 1, 0, 16.58372
D:\Pulpit\Data\IMG\center_2020_11_18_15_54_34_744.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_34_744.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_34_744.jpg, -0.02667398, 1, 0, 17.78224
D:\Pulpit\Data\IMG\center_2020_11_18_15_54_34_846.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_34_846.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_34_846.jpg, -0.08049931, 1, 0, 18.80434
D:\Pulpit\Data\IMG\center_2020_11_18_15_54_34_947.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_34_947.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_34_947.jpg, -0.3767673, 1, 0, 19.76682
D:\Pulpit\Data\IMG\center_2020_11_18_15_54_35_049.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_35_049.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_35_049.jpg, -0.09210841, 1, 0, 20.78168
D:\Pulpit\Data\IMG\center_2020_11_18_15_54_35_150.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_35_150.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_35_150.jpg, 0, 1, 0, 21.751
D:\Pulpit\Data\IMG\center_2020_11_18_15_54_35_252.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_35_252.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_35_252.jpg, 0, 1, 0, 22.75847
D:\Pulpit\Data\IMG\center_2020_11_18_15_54_35_354.jpg, D:\Pulpit\Data\IMG\left_2020_11_18_15_54_35_354.jpg, D:\Pulpit\Data\IMG\right_2020_11_18_15_54_35_354.jpg, -0.1022514, 1, 0, 23.72574
